GEOID,avg_annual_crimes,population,crimes_per_1k
17031010100,616.4,4284,143.9
17031010201,461.1333333333333,8210,56.2
17031010202,604.9333333333333,2865,211.1
17031010300,428.6666666666667,6237,68.7
17031010400,304.8666666666667,4473,68.2
17031010501,223.06666666666666,3913,57.0
17031010502,150.06666666666666,3407,44.0
17031010503,139.26666666666668,2417,57.6
17031010600,422.8,6379,66.3
17031010701,172.33333333333334,3590,48.0
17031010702,343.4,5148,66.7
17031020100,240.26666666666668,3927,61.2
17031020200,231.66666666666666,7203,32.2
17031020301,108.93333333333334,5432,20.1
17031020302,221.06666666666666,5201,42.5
17031020400,209.86666666666667,4256,49.3
17031020500,400.73333333333335,6646,60.3
17031020601,285.26666666666665,5868,48.6
17031020602,264.6666666666667,5343,49.5
17031020701,162.6,1728,94.1
17031020702,343.6,8412,40.8
17031020801,259.06666666666666,5990,43.2
17031020802,413.93333333333334,8715,47.5
17031020901,346.93333333333334,6179,56.1
17031020902,181.4,4365,41.6
17031030101,146.46666666666667,3517,41.6
17031030102,147.66666666666666,3052,48.4
17031030103,78.33333333333333,2297,34.1
17031030104,75.26666666666667,3106,24.2
17031030200,364.6666666666667,5554,65.7
17031030300,118.13333333333334,3642,32.4
17031030400,110.13333333333334,2822,39.0
17031030500,329.46666666666664,6344,51.9
17031030601,186.0,3771,49.3
17031030603,159.0,2305,69.0
17031030604,134.26666666666668,2921,46.0
17031030701,85.26666666666667,1509,56.5
17031030702,36.06666666666667,2266,15.9
17031030703,169.6,3093,54.8
17031030706,169.73333333333332,2588,65.6
17031030800,310.73333333333335,4236,73.4
17031030900,147.66666666666666,3076,48.0
17031031000,148.53333333333333,3652,40.7
17031031100,225.4,4898,46.0
17031031200,483.6666666666667,5936,81.5
17031031300,281.2,6853,41.0
17031031400,356.53333333333336,4685,76.1
17031031501,211.4,4640,45.6
17031031502,249.26666666666668,4622,53.9
17031031700,450.73333333333335,6119,73.7
17031031800,103.46666666666667,2114,48.9
17031031900,98.8,2417,40.9
17031032100,496.6,7279,68.2
17031040100,278.3333333333333,4011,69.4
17031040201,354.3333333333333,6688,53.0
17031040202,366.06666666666666,7965,46.0
17031040300,180.53333333333333,3063,58.9
17031040401,104.8,3431,30.5
17031040402,245.0,4581,53.5
17031040600,162.4,2785,58.3
17031040700,127.13333333333334,3749,33.9
17031040800,79.73333333333333,1577,50.6
17031040900,114.73333333333333,2006,57.2
17031050100,84.93333333333334,2513,33.8
17031050200,219.93333333333334,5546,39.7
17031050300,79.73333333333333,2829,28.2
17031050500,205.26666666666668,5199,39.5
17031050600,123.33333333333333,2232,55.3
17031050700,51.93333333333333,1456,35.7
17031050800,46.733333333333334,1398,33.4
17031050900,75.73333333333333,1388,54.6
17031051000,120.26666666666667,1707,70.5
17031051100,65.86666666666666,1905,34.6
17031051200,53.93333333333333,1576,34.2
17031051300,88.53333333333333,3077,28.8
17031051400,136.46666666666667,2535,53.8
17031060100,116.4,3178,36.6
17031060200,134.33333333333334,2147,62.6
17031060300,108.53333333333333,2821,38.5
17031060400,158.8,3691,43.0
17031060500,69.66666666666667,1287,54.1
17031060800,127.73333333333333,5319,24.0
17031060900,359.8666666666667,6943,51.8
17031061000,224.53333333333333,2324,96.6
17031061100,234.33333333333334,1436,163.2
17031061200,82.6,2052,40.3
17031061500,68.2,2023,33.7
17031061800,84.0,1204,69.8
17031061901,114.66666666666667,3517,32.6
17031061902,111.2,4938,22.5
17031062000,299.53333333333336,2890,103.6
17031062100,505.4,3646,138.6
17031062200,224.53333333333333,3152,71.2
17031062300,70.4,1609,43.8
17031062400,94.33333333333333,1799,52.4
17031062500,118.4,1420,83.4
17031062600,111.26666666666667,2371,46.9
17031062700,168.66666666666666,3046,55.4
17031062800,155.26666666666668,3682,42.2
17031062900,213.86666666666667,4138,51.7
17031063000,470.1333333333333,3280,143.3
17031063100,171.13333333333333,2352,72.8
17031063200,236.73333333333332,6380,37.1
17031063301,73.53333333333333,2992,24.6
17031063302,85.93333333333334,4102,20.9
17031063303,67.06666666666666,1198,56.0
17031063400,244.53333333333333,2435,100.4
17031070101,243.0,4583,53.0
17031070102,155.46666666666667,2980,52.2
17031070103,66.86666666666666,1439,46.5
17031070200,280.26666666666665,4019,69.7
17031070300,325.73333333333335,3818,85.3
17031070400,168.26666666666668,3421,49.2
17031070500,109.33333333333333,3185,34.3
17031070600,144.26666666666668,3194,45.2
17031070700,318.1333333333333,3741,85.0
17031071000,163.6,4525,36.2
17031071100,261.2,3186,82.0
17031071200,278.73333333333335,2386,116.8
17031071300,167.13333333333333,4129,40.5
17031071400,299.6,4763,62.9
17031071500,482.8666666666667,5991,80.6
17031071600,53.333333333333336,1903,28.0
17031071700,98.93333333333334,1485,66.6
17031071800,134.66666666666666,2726,49.4
17031080100,155.26666666666668,6607,23.5
17031080201,113.0,3236,34.9
17031080202,349.0,3800,91.8
17031080300,335.6,5836,57.5
17031080400,530.8,4888,108.6
17031081000,450.3333333333333,8150,55.3
17031081100,294.53333333333336,4455,66.1
17031081201,1044.2666666666667,4428,235.8
17031081202,174.26666666666668,3437,50.7
17031081300,347.3333333333333,6014,57.8
17031081401,530.8,2171,244.5
17031081402,265.3333333333333,5942,44.7
17031081403,855.7333333333333,8987,95.2
17031081500,902.8,4906,184.0
17031081600,617.1333333333333,3725,165.7
17031081700,957.2666666666667,5217,183.5
17031081800,1026.6,12213,84.1
17031081900,222.8,1111,200.5
17031090100,70.93333333333334,3526,20.1
17031090200,176.46666666666667,6505,27.1
17031090300,36.53333333333333,1371,26.6
17031100100,223.93333333333334,5890,38.0
17031100200,216.46666666666667,7564,28.6
17031100300,161.66666666666666,6447,25.1
17031100400,78.46666666666667,3325,23.6
17031100500,211.86666666666667,5814,36.4
17031100600,274.93333333333334,4914,55.9
